% Iteration Error Objective Gradient-norm
history = [
  0 0.07258 0.00526231 0.0077268
  1 0.0604624 0.00365189 0.00541011
  2 0.0176474 0.000310654 0.000908728
  3 0.0158616 0.00025086 0.000772063
  4 0.00717442 5.07228e-05 0.000315073
  5 0.00707086 4.92572e-05 0.000308449
  6 0.00623726 3.82575e-05 0.000246667
  7 0.00539024 2.85049e-05 0.000182662
  8 0.00455706 2.0322e-05 0.000123285
  9 0.00424361 1.76028e-05 0.000104746
 10 0.00411382 1.65371e-05 0.000100737
 11 0.00402192 1.5806e-05 9.84348e-05
 12 0.00379501 1.40799e-05 8.94265e-05
 13 0.00340492 1.13545e-05 6.97524e-05
 14 0.0027506 7.44018e-06 3.89819e-05
 15 0.00211866 4.43421e-06 1.78794e-05
 16 0.00180055 3.20788e-06 1.08849e-05
 17 0.00170376 2.86942e-06 1.02459e-05
 18 0.00163178 2.62862e-06 1.02778e-05
 19 0.00147334 2.13836e-06 9.57894e-06
 20 0.0012059 1.42941e-06 7.24538e-06
 21 0.000849935 7.09566e-07 3.95512e-06
 22 0.000591573 3.44555e-07 2.01764e-06
 23 0.000516689 2.63343e-07 1.56676e-06
 24 0.000502302 2.48824e-07 1.53987e-06
 25 0.000488804 2.35544e-07 1.50309e-06
 26 0.000454739 2.03819e-07 1.32258e-06
 27 0.000390193 1.50194e-07 9.19578e-07
 28 0.000291422 8.40182e-08 4.08894e-07
 29 0.000202394 4.06738e-08 1.35905e-07
 30 0.00016762 2.79246e-08 8.59891e-08
 31 0.000159079 2.51302e-08 8.40479e-08
 32 0.000151431 2.27484e-08 8.45571e-08
 33 0.000133923 1.77605e-08 7.77801e-08
 34 0.000105064 1.09075e-08 5.51105e-08
 35 6.87768e-05 4.66574e-09 2.5002e-08
 36 4.47071e-05 1.97107e-09 1.04641e-08
 37 3.87024e-05 1.47749e-09 7.73829e-09
 38 3.75915e-05 1.39306e-09 7.63739e-09
 39 3.63114e-05 1.29879e-09 7.43653e-09
 40 3.31948e-05 1.08386e-09 6.42693e-09
 41 2.75432e-05 7.44168e-10 4.28796e-09
 42 1.98317e-05 3.82677e-10 1.93414e-09
 43 1.41516e-05 1.91384e-10 8.17748e-10
 44 1.25144e-05 1.48179e-10 6.56479e-10
 45 1.21528e-05 1.39435e-10 6.76093e-10
 46 1.17303e-05 1.29654e-10 6.83687e-10
 47 1.07236e-05 1.07918e-10 6.2996e-10
 48 8.90356e-06 7.37296e-11 4.58031e-10
 49 6.3585e-06 3.64946e-11 2.1853e-10
 50 4.41157e-06 1.61433e-11 8.68144e-11
];
