  0 TAO,  Function value: 1.,  Residual: 2. 
  0 TAO,  Function value: 0.771065,  Residual: 4.79162 
  1 TAO,  Function value: 0.532904,  Residual: 4.3685 
  2 TAO,  Function value: 0.350686,  Residual: 4.05813 
  3 TAO,  Function value: 0.217573,  Residual: 3.95913 
  4 TAO,  Function value: 0.123952,  Residual: 3.40934 
  5 TAO,  Function value: 0.0636635,  Residual: 3.18375 
  6 TAO,  Function value: 0.0274548,  Residual: 2.16918 
  7 TAO,  Function value: 0.00941728,  Residual: 1.80404 
  8 TAO,  Function value: 0.00205014,  Residual: 0.752048 
  9 TAO,  Function value: 0.000205297,  Residual: 0.367351 
 10 TAO,  Function value: 3.68995e-06,  Residual: 0.0380552 
 11 TAO,  Function value: 1.66478e-09,  Residual: 0.0011571 
 12 TAO,  Function value: 3.55089e-16,  Residual: 3.79451e-07 
