
---- Elastic-Plastic Torsion Problem -----
mx: 10     my: 10   

  0 TAO,  Function value: -0.330579,  Residual: 0.728961 
  1 TAO,  Function value: -0.391218,  Residual: 0.386209 
  2 TAO,  Function value: -0.412219,  Residual: 0.209489 
  3 TAO,  Function value: -0.424578,  Residual: 0.104311 
  4 TAO,  Function value: -0.426033,  Residual: 0.112253 
  5 TAO,  Function value: -0.427233,  Residual: 0.0332491 
  6 TAO,  Function value: -0.427491,  Residual: 0.0246162 
  7 TAO,  Function value: -0.427717,  Residual: 0.0129942 
  8 TAO,  Function value: -0.427741,  Residual: 0.00603353 
  9 TAO,  Function value: -0.427743,  Residual: 0.00427758 
 10 TAO,  Function value: -0.427745,  Residual: 0.000625767 
