  0 TAO,  Function value: 1.,  Residual: 2. 
  1 TAO,  Function value: 0.773446,  Residual: 6.07754 
  2 TAO,  Function value: 0.520003,  Residual: 2.7095 
  3 TAO,  Function value: 0.399519,  Residual: 9.37099 
  4 TAO,  Function value: 0.207877,  Residual: 0.782443 
  5 TAO,  Function value: 0.143719,  Residual: 2.90222 
  6 TAO,  Function value: 0.102327,  Residual: 6.8526 
  7 TAO,  Function value: 0.0400405,  Residual: 0.613311 
  8 TAO,  Function value: 0.0244707,  Residual: 1.22032 
  9 TAO,  Function value: 0.0117014,  Residual: 2.46556 
 10 TAO,  Function value: 0.00261731,  Residual: 0.557944 
 11 TAO,  Function value: 0.00032556,  Residual: 0.601787 
 12 TAO,  Function value: 6.6759e-06,  Residual: 0.0298191 
 13 TAO,  Function value: 4.83126e-09,  Residual: 0.00254698 
 14 TAO,  Function value: 2.07148e-15,  Residual: 5.3422e-07 
