  0 TAO,  Function value: 1.,  Residual: 2. 
  1 TAO,  Function value: 0.789795,  Residual: 3.24422 
  2 TAO,  Function value: 0.747841,  Residual: 13.7103 
  3 TAO,  Function value: 0.546881,  Residual: 6.82358 
  4 TAO,  Function value: 0.393309,  Residual: 1.01588 
  5 TAO,  Function value: 0.367038,  Residual: 1.80676 
  6 TAO,  Function value: 0.312608,  Residual: 1.93114 
  7 TAO,  Function value: 0.288472,  Residual: 11.8459 
  8 TAO,  Function value: 0.208725,  Residual: 0.618331 
  9 TAO,  Function value: 0.18113,  Residual: 1.11748 
 10 TAO,  Function value: 0.152711,  Residual: 2.28619 
 11 TAO,  Function value: 0.120843,  Residual: 9.29008 
 12 TAO,  Function value: 0.0789457,  Residual: 0.405439 
 13 TAO,  Function value: 0.055862,  Residual: 0.438713 
 14 TAO,  Function value: 0.0423717,  Residual: 1.40343 
 15 TAO,  Function value: 0.0375846,  Residual: 6.29474 
 16 TAO,  Function value: 0.0240546,  Residual: 1.55149 
 17 TAO,  Function value: 0.0199755,  Residual: 1.34442 
 18 TAO,  Function value: 0.00779154,  Residual: 2.422 
 19 TAO,  Function value: 0.00512941,  Residual: 1.05793 
 20 TAO,  Function value: 0.00481192,  Residual: 0.995648 
 21 TAO,  Function value: 0.00380271,  Residual: 0.901905 
 22 TAO,  Function value: 0.000849517,  Residual: 0.138608 
 23 TAO,  Function value: 0.000715625,  Residual: 1.18502 
 24 TAO,  Function value: 0.000130723,  Residual: 0.153813 
 25 TAO,  Function value: 1.01479e-05,  Residual: 0.013362 
 26 TAO,  Function value: 7.85983e-08,  Residual: 0.00732501 
 27 TAO,  Function value: 5.0889e-10,  Residual: 0.00096921 
 28 TAO,  Function value: 7.53749e-15,  Residual: 1.31238e-06 
