  0 TAO,  Function value: 1.,  Residual: 2. 
  0 TAO,  Function value: 0.770447,  Residual: 5.24792 
  1 TAO,  Function value: 0.526409,  Residual: 3.62426 
  2 TAO,  Function value: 0.357435,  Residual: 5.6789 
  3 TAO,  Function value: 0.213476,  Residual: 2.12473 
  4 TAO,  Function value: 0.15103,  Residual: 8.35263 
  5 TAO,  Function value: 0.0602938,  Residual: 0.498513 
  6 TAO,  Function value: 0.0331258,  Residual: 2.4877 
  7 TAO,  Function value: 0.0119116,  Residual: 1.77389 
  8 TAO,  Function value: 0.00292613,  Residual: 1.00799 
  9 TAO,  Function value: 0.000357205,  Residual: 0.409411 
 10 TAO,  Function value: 1.02563e-05,  Residual: 0.0746257 
 11 TAO,  Function value: 1.26232e-08,  Residual: 0.00275403 
 12 TAO,  Function value: 2.09587e-14,  Residual: 3.46652e-06 
