  0 TAO,  Function value: 1.,  Residual: 2. 
  1 TAO,  Function value: 0.791905,  Residual: 3.15898 
  2 TAO,  Function value: 0.716974,  Residual: 5.24923 
  3 TAO,  Function value: 0.587951,  Residual: 5.20735 
  4 TAO,  Function value: 0.412537,  Residual: 1.56232 
  5 TAO,  Function value: 0.335086,  Residual: 2.65299 
  6 TAO,  Function value: 0.300763,  Residual: 4.47598 
  7 TAO,  Function value: 0.232357,  Residual: 5.05019 
  8 TAO,  Function value: 0.14516,  Residual: 1.02137 
  9 TAO,  Function value: 0.114355,  Residual: 4.04566 
 10 TAO,  Function value: 0.0741459,  Residual: 3.7801 
 11 TAO,  Function value: 0.0438034,  Residual: 2.09092 
 12 TAO,  Function value: 0.021576,  Residual: 1.45322 
 13 TAO,  Function value: 0.0189312,  Residual: 4.26115 
 14 TAO,  Function value: 0.0101043,  Residual: 1.3322 
 15 TAO,  Function value: 0.00476557,  Residual: 0.224576 
 16 TAO,  Function value: 0.00128085,  Residual: 1.04646 
 17 TAO,  Function value: 0.000326873,  Residual: 0.376942 
 18 TAO,  Function value: 2.69671e-05,  Residual: 0.184859 
 19 TAO,  Function value: 4.63757e-06,  Residual: 0.0736292 
 20 TAO,  Function value: 8.31896e-08,  Residual: 0.00606217 
 21 TAO,  Function value: 4.81083e-11,  Residual: 0.000213182 
