timestep 0: time 0, solution norm 23.6853, max 0.999996, min 0
timestep 1: time 0.01, solution norm 23.5593, max 0.882245, min 0
timestep 2: time 0.02, solution norm 23.0085, max 0.777702, min -0.0272512
timestep 3: time 0.03, solution norm 21.6425, max 0.71264, min -0.0448901
timestep 4: time 0.04, solution norm 19.9589, max 0.663065, min -0.0773792
timestep 5: time 0.05, solution norm 18.2365, max 0.623411, min -0.0845737
timestep 6: time 0.06, solution norm 16.6944, max 0.582883, min -0.109941
timestep 7: time 0.07, solution norm 15.1826, max 0.554764, min -0.112078
timestep 8: time 0.08, solution norm 13.8932, max 0.519877, min -0.133839
timestep 9: time 0.09, solution norm 12.637, max 0.497851, min -0.133952
timestep 10: time 0.1, solution norm 11.5727, max 0.468206, min -0.151915
timestep 11: time 0.11, solution norm 10.5384, max 0.450006, min -0.151153
timestep 12: time 0.12, solution norm 9.66152, max 0.42498, min -0.165509
timestep 13: time 0.13, solution norm 8.81048, max 0.40957, min -0.164227
timestep 14: time 0.14, solution norm 8.08826, max 0.388386, min -0.175488
timestep 15: time 0.15, solution norm 7.38717, max 0.375216, min -0.173774
timestep 16: time 0.16, solution norm 6.79241, max 0.357143, min -0.182512
timestep 17: time 0.17, solution norm 6.21402, max 0.345858, min -0.18039
timestep 18: time 0.18, solution norm 5.72422, max 0.330283, min -0.187117
timestep 19: time 0.19, solution norm 5.24634, max 0.320608, min -0.184614
timestep 20: time 0.2, solution norm 4.8429, max 0.307048, min -0.18975
timestep 21: time 0.21, solution norm 4.44745, max 0.298748, min -0.186909
timestep 22: time 0.22, solution norm 4.11504, max 0.286827, min -0.190788
timestep 23: time 0.23, solution norm 3.78727, max 0.279696, min -0.187664
timestep 24: time 0.24, solution norm 3.51325, max 0.269124, min -0.190544
timestep 25: time 0.25, solution norm 3.24109, max 0.26298, min -0.187198
timestep 26: time 0.26, solution norm 3.01527, max 0.25353, min -0.189282
timestep 27: time 0.27, solution norm 2.78865, max 0.248217, min -0.185774
timestep 28: time 0.28, solution norm 2.60209, max 0.239711, min -0.18722
timestep 29: time 0.29, solution norm 2.41331, max 0.235091, min -0.183604
timestep 30: time 0.3, solution norm 2.25917, max 0.227387, min -0.184537
timestep 31: time 0.31, solution norm 2.12561, max 0.223346, min -0.180862
timestep 32: time 0.32, solution norm 1.99491, max 0.21633, min -0.181382
timestep 33: time 0.33, solution norm 1.89099, max 0.21277, min -0.177686
timestep 34: time 0.34, solution norm 1.78161, max 0.206348, min -0.177873
timestep 35: time 0.35, solution norm 1.69329, max 0.203189, min -0.174191
timestep 36: time 0.36, solution norm 1.60154, max 0.197283, min -0.174109
timestep 37: time 0.37, solution norm 1.52613, max 0.194457, min -0.170466
timestep 38: time 0.38, solution norm 1.44894, max 0.189003, min -0.170168
timestep 39: time 0.39, solution norm 1.38422, max 0.186456, min -0.166586
timestep 40: time 0.4, solution norm 1.31907, max 0.181399, min -0.166115
timestep 41: time 0.41, solution norm 1.26324, max 0.179084, min -0.162607
timestep 42: time 0.42, solution norm 1.20805, max 0.174379, min -0.161999
timestep 43: time 0.43, solution norm 1.1596, max 0.17226, min -0.158576
timestep 44: time 0.44, solution norm 1.11266, max 0.167866, min -0.15786
timestep 45: time 0.45, solution norm 1.07036, max 0.165912, min -0.154531
timestep 46: time 0.46, solution norm 1.03026, max 0.161797, min -0.153731
timestep 47: time 0.47, solution norm 1.00106, max 0.159983, min -0.150499
timestep 48: time 0.48, solution norm 0.968007, max 0.156117, min -0.149635
timestep 49: time 0.49, solution norm 0.944156, max 0.154423, min -0.146504
timestep 50: time 0.5, solution norm 0.915354, max 0.150781, min -0.145592
timestep 51: time 0.51, solution norm 0.8943, max 0.14919, min -0.142563
timestep 52: time 0.52, solution norm 0.870712, max 0.14575, min -0.141617
timestep 53: time 0.53, solution norm 0.851296, max 0.14425, min -0.138689
timestep 54: time 0.54, solution norm 0.832402, max 0.140993, min -0.137719
timestep 55: time 0.55, solution norm 0.814064, max 0.139571, min -0.134891
timestep 56: time 0.56, solution norm 0.797807, max 0.136482, min -0.133907
timestep 57: time 0.57, solution norm 0.781225, max 0.135129, min -0.131178
timestep 58: time 0.58, solution norm 0.76631, max 0.132192, min -0.130187
timestep 59: time 0.59, solution norm 0.751209, max 0.130901, min -0.127553
timestep 60: time 0.6, solution norm 0.739021, max 0.128105, min -0.126561
timestep 61: time 0.61, solution norm 0.725099, max 0.126869, min -0.124021
timestep 62: time 0.62, solution norm 0.714117, max 0.124202, min -0.123033
timestep 63: time 0.63, solution norm 0.70122, max 0.123015, min -0.120582
