lambda: 2.777778 mu: 4.166667
  0 SNES Function norm 1.38611
    0 KSP Residual norm 255.516
    1 KSP Residual norm 17.607
    2 KSP Residual norm 7.34131
    3 KSP Residual norm 0.817287
    4 KSP Residual norm 0.199032
    5 KSP Residual norm 0.0970079
    6 KSP Residual norm 0.0464938
    7 KSP Residual norm 0.0280298
    8 KSP Residual norm 0.0135036
  1 SNES Function norm 0.639672
    0 KSP Residual norm 142.021
    1 KSP Residual norm 3.57448
    2 KSP Residual norm 0.816532
    3 KSP Residual norm 0.0781577
    4 KSP Residual norm 0.0152404
    5 KSP Residual norm 0.00521153
    0 KSP Residual norm 5.93675
    1 KSP Residual norm 0.22235
    2 KSP Residual norm 0.0768537
    3 KSP Residual norm 0.015419
    4 KSP Residual norm 0.00177103
    5 KSP Residual norm 0.0006128
    6 KSP Residual norm 0.000266754
  2 SNES Function norm 0.0388927
    0 KSP Residual norm 143.843
    1 KSP Residual norm 4.90783
    2 KSP Residual norm 1.33327
    3 KSP Residual norm 0.332468
    4 KSP Residual norm 0.0335002
    5 KSP Residual norm 0.00590198
    0 KSP Residual norm 0.19205
    1 KSP Residual norm 0.0157705
    2 KSP Residual norm 0.00486016
    3 KSP Residual norm 0.00135523
    4 KSP Residual norm 9.36627e-05
    5 KSP Residual norm 8.61204e-05
    6 KSP Residual norm 7.5147e-05
    7 KSP Residual norm 6.25441e-05
    8 KSP Residual norm 3.45035e-05
    9 KSP Residual norm 1.59121e-05
  3 SNES Function norm 0.000308045
    0 KSP Residual norm 143.903
    1 KSP Residual norm 5.00955
    2 KSP Residual norm 1.37497
    3 KSP Residual norm 0.375005
    4 KSP Residual norm 0.0346852
    5 KSP Residual norm 0.00767254
    0 KSP Residual norm 0.000636927
    1 KSP Residual norm 7.96411e-05
    2 KSP Residual norm 2.72107e-05
    3 KSP Residual norm 6.05658e-06
    4 KSP Residual norm 4.00303e-06
    5 KSP Residual norm 2.22025e-06
    6 KSP Residual norm 2.21843e-06
    7 KSP Residual norm 2.08197e-06
    8 KSP Residual norm 2.08077e-06
    9 KSP Residual norm 1.26891e-06
   10 KSP Residual norm 4.71248e-07
   11 KSP Residual norm 1.16254e-07
   12 KSP Residual norm 2.76638e-08
  4 SNES Function norm 8.27177e-08
    0 KSP Residual norm 143.903
    1 KSP Residual norm 5.01003
    2 KSP Residual norm 1.37742
    3 KSP Residual norm 0.373441
    4 KSP Residual norm 0.0346181
    5 KSP Residual norm 0.00668563
    0 KSP Residual norm 1.85599e-07
    1 KSP Residual norm 5.21652e-08
    2 KSP Residual norm 5.06028e-08
    3 KSP Residual norm 3.73498e-08
    4 KSP Residual norm 3.69848e-08
    5 KSP Residual norm 3.59249e-08
    6 KSP Residual norm 3.59142e-08
    7 KSP Residual norm 1.69455e-08
    8 KSP Residual norm 5.90728e-09
    9 KSP Residual norm 1.33202e-09
   10 KSP Residual norm 3.852e-10
   11 KSP Residual norm 6.430e-11
   12 KSP Residual norm 1.346e-11
  5 SNES Function norm 3.731e-11
  5 SNES Function norm 1.38611
    0 KSP Residual norm 143.903
    1 KSP Residual norm 5.01003
    2 KSP Residual norm 1.37746
    3 KSP Residual norm 0.373411
    4 KSP Residual norm 0.0346181
    5 KSP Residual norm 0.00667248
  6 SNES Function norm 0.310611
    0 KSP Residual norm 95.0231
    1 KSP Residual norm 18.1536
    2 KSP Residual norm 2.11556
    3 KSP Residual norm 0.156589
    4 KSP Residual norm 0.0550692
    5 KSP Residual norm 0.0112982
    6 KSP Residual norm 0.00694357
    0 KSP Residual norm 4.51277
    1 KSP Residual norm 0.221376
    2 KSP Residual norm 0.122448
    3 KSP Residual norm 0.0311351
    4 KSP Residual norm 0.0079352
    5 KSP Residual norm 0.00170914
    6 KSP Residual norm 0.00112554
    7 KSP Residual norm 0.000207214
  7 SNES Function norm 0.00714473
    0 KSP Residual norm 95.6017
    1 KSP Residual norm 1.88185
    2 KSP Residual norm 0.254225
    3 KSP Residual norm 0.166612
    4 KSP Residual norm 0.138084
    5 KSP Residual norm 0.0398417
    6 KSP Residual norm 0.0111632
    7 KSP Residual norm 0.00231077
    0 KSP Residual norm 0.0562684
    1 KSP Residual norm 0.039649
    2 KSP Residual norm 0.0105141
    3 KSP Residual norm 0.00250253
    4 KSP Residual norm 0.000688543
    5 KSP Residual norm 0.000126126
    6 KSP Residual norm 4.18119e-05
    7 KSP Residual norm 2.05497e-05
    8 KSP Residual norm 5.174e-06
  8 SNES Function norm 0.00026608
    0 KSP Residual norm 95.6134
    1 KSP Residual norm 1.88467
    2 KSP Residual norm 0.265438
    3 KSP Residual norm 0.132774
    4 KSP Residual norm 0.0649001
    5 KSP Residual norm 0.02028
    6 KSP Residual norm 0.0104718
    7 KSP Residual norm 0.00228931
    0 KSP Residual norm 0.00149883
    1 KSP Residual norm 0.0010905
    2 KSP Residual norm 0.000205484
    3 KSP Residual norm 3.42559e-05
    4 KSP Residual norm 5.92689e-06
    5 KSP Residual norm 1.25835e-06
    6 KSP Residual norm 5.78346e-07
    7 KSP Residual norm 1.46452e-07
  9 SNES Function norm 6.12901e-07
    0 KSP Residual norm 95.6137
    1 KSP Residual norm 1.88441
    2 KSP Residual norm 0.264716
    3 KSP Residual norm 0.133412
    4 KSP Residual norm 0.0664921
    5 KSP Residual norm 0.0204252
    6 KSP Residual norm 0.010441
    7 KSP Residual norm 0.00228648
    0 KSP Residual norm 4.34072e-06
    1 KSP Residual norm 2.06397e-06
    2 KSP Residual norm 3.83086e-07
    3 KSP Residual norm 1.34572e-07
    4 KSP Residual norm 3.19227e-08
    5 KSP Residual norm 7.54297e-09
    6 KSP Residual norm 3.61325e-09
    7 KSP Residual norm 1.34198e-09
    8 KSP Residual norm 2.372e-10
 10 SNES Function norm 8.642e-10
 10 SNES Function norm 1.38611
    0 KSP Residual norm 95.6137
    1 KSP Residual norm 1.88441
    2 KSP Residual norm 0.264718
    3 KSP Residual norm 0.133409
    4 KSP Residual norm 0.0664868
    5 KSP Residual norm 0.0204244
    6 KSP Residual norm 0.0104409
    7 KSP Residual norm 0.00228647
 11 SNES Function norm 0.247221
    0 KSP Residual norm 68.5905
    1 KSP Residual norm 1.25374
    2 KSP Residual norm 0.148991
    3 KSP Residual norm 0.134125
    4 KSP Residual norm 0.0857324
    5 KSP Residual norm 0.0187772
    6 KSP Residual norm 0.00602285
    0 KSP Residual norm 3.75472
    1 KSP Residual norm 0.0703857
    2 KSP Residual norm 0.0151829
    3 KSP Residual norm 0.00849458
    4 KSP Residual norm 0.00706019
    5 KSP Residual norm 0.00260358
    6 KSP Residual norm 0.000557311
    7 KSP Residual norm 0.000238816
 12 SNES Function norm 0.0297064
    0 KSP Residual norm 69.1133
    1 KSP Residual norm 1.31751
    2 KSP Residual norm 0.165831
