
---- Journal Bearing Problem SHB-----
mx: 8,  my: 12,  ecc: 0.1 

  0 TAO,  Function value: 0.,  Residual: 1.11613 
  0 TAO,  Function value: -0.149218,  Residual: 0.455114 
  1 TAO,  Function value: -0.170125,  Residual: 0.31513 
  2 TAO,  Function value: -0.175848,  Residual: 0.219207 
  3 TAO,  Function value: -0.179099,  Residual: 0.103589 
  4 TAO,  Function value: -0.181841,  Residual: 0.0752375 
  5 TAO,  Function value: -0.183062,  Residual: 0.0657524 
  6 TAO,  Function value: -0.183293,  Residual: 0.0419465 
  7 TAO,  Function value: -0.183408,  Residual: 0.0114645 
  8 TAO,  Function value: -0.183423,  Residual: 0.00745747 
  9 TAO,  Function value: -0.183434,  Residual: 0.00415397 
 10 TAO,  Function value: -0.183435,  Residual: 0.00454266 
 11 TAO,  Function value: -0.183436,  Residual: 0.00146116 
 12 TAO,  Function value: -0.183437,  Residual: 0.00102279 
 13 TAO,  Function value: -0.183437,  Residual: 0.000744598 
 14 TAO,  Function value: -0.183437,  Residual: 0.000619057 
 15 TAO,  Function value: -0.183437,  Residual: 0.000250578 
 16 TAO,  Function value: -0.183437,  Residual: 0.000147087 
 17 TAO,  Function value: -0.183437,  Residual: 0.000106866 
 18 TAO,  Function value: -0.183437,  Residual: 0.000131039 
 19 TAO,  Function value: -0.183437,  Residual: 4.8005e-05 
