
---- Journal Bearing Problem SHB-----
mx: 8,  my: 12,  ecc: 0.1 

  0 TAO,  Function value: 0.,  Residual: 1.11613 
  0 TAO,  Function value: -0.148934,  Residual: 0.469316 
  1 TAO,  Function value: -0.171506,  Residual: 0.308197 
  2 TAO,  Function value: -0.175786,  Residual: 0.149576 
  3 TAO,  Function value: -0.177795,  Residual: 0.132021 
  4 TAO,  Function value: -0.179224,  Residual: 0.102274 
  5 TAO,  Function value: -0.180268,  Residual: 0.0952942 
  6 TAO,  Function value: -0.18104,  Residual: 0.0751234 
  7 TAO,  Function value: -0.181609,  Residual: 0.0708626 
  8 TAO,  Function value: -0.182034,  Residual: 0.0567562 
  9 TAO,  Function value: -0.182353,  Residual: 0.0535245 
 10 TAO,  Function value: -0.182596,  Residual: 0.0437106 
 11 TAO,  Function value: -0.182782,  Residual: 0.0410071 
 12 TAO,  Function value: -0.182926,  Residual: 0.0339347 
 13 TAO,  Function value: -0.183038,  Residual: 0.03172 
 14 TAO,  Function value: -0.183125,  Residual: 0.0264225 
 15 TAO,  Function value: -0.183193,  Residual: 0.0246635 
 16 TAO,  Function value: -0.183246,  Residual: 0.0206094 
 17 TAO,  Function value: -0.183288,  Residual: 0.0192335 
 18 TAO,  Function value: -0.18332,  Residual: 0.0160983 
 19 TAO,  Function value: -0.183345,  Residual: 0.0150272 
 20 TAO,  Function value: -0.183365,  Residual: 0.0125899 
 21 TAO,  Function value: -0.183381,  Residual: 0.0117563 
 22 TAO,  Function value: -0.183393,  Residual: 0.00985586 
 23 TAO,  Function value: -0.183402,  Residual: 0.00920635 
 24 TAO,  Function value: -0.18341,  Residual: 0.00772179 
 25 TAO,  Function value: -0.183416,  Residual: 0.0072149 
 26 TAO,  Function value: -0.18342,  Residual: 0.0060537 
 27 TAO,  Function value: -0.183424,  Residual: 0.00565754 
 28 TAO,  Function value: -0.183427,  Residual: 0.00474837 
 29 TAO,  Function value: -0.183429,  Residual: 0.00443839 
 30 TAO,  Function value: -0.183431,  Residual: 0.00372601 
 31 TAO,  Function value: -0.183432,  Residual: 0.00348322 
 32 TAO,  Function value: -0.183433,  Residual: 0.0029247 
 33 TAO,  Function value: -0.183434,  Residual: 0.0027344 
 34 TAO,  Function value: -0.183435,  Residual: 0.00229629 
 35 TAO,  Function value: -0.183435,  Residual: 0.00214705 
 36 TAO,  Function value: -0.183436,  Residual: 0.00180326 
 37 TAO,  Function value: -0.183436,  Residual: 0.00168617 
 38 TAO,  Function value: -0.183436,  Residual: 0.0014163 
 39 TAO,  Function value: -0.183436,  Residual: 0.0013244 
 40 TAO,  Function value: -0.183437,  Residual: 0.00111252 
 41 TAO,  Function value: -0.183437,  Residual: 0.00104037 
 42 TAO,  Function value: -0.183437,  Residual: 0.000873973 
 43 TAO,  Function value: -0.183437,  Residual: 0.000817318 
 44 TAO,  Function value: -0.183437,  Residual: 0.000686629 
 45 TAO,  Function value: -0.183437,  Residual: 0.000642134 
 46 TAO,  Function value: -0.183437,  Residual: 0.000539476 
 47 TAO,  Function value: -0.183437,  Residual: 0.000504526 
 48 TAO,  Function value: -0.183437,  Residual: 0.000423879 
 49 TAO,  Function value: -0.183437,  Residual: 0.000396424 
 50 TAO,  Function value: -0.183437,  Residual: 0.000333064 
 51 TAO,  Function value: -0.183437,  Residual: 0.000311494 
 52 TAO,  Function value: -0.183437,  Residual: 0.000261713 
 53 TAO,  Function value: -0.183437,  Residual: 0.000244767 
 54 TAO,  Function value: -0.183437,  Residual: 0.000205652 
 55 TAO,  Function value: -0.183437,  Residual: 0.000192337 
 56 TAO,  Function value: -0.183437,  Residual: 0.000161603 
 57 TAO,  Function value: -0.183437,  Residual: 0.00015114 
 58 TAO,  Function value: -0.183437,  Residual: 0.00012699 
 59 TAO,  Function value: -0.183437,  Residual: 0.000118769 
 60 TAO,  Function value: -0.183437,  Residual: 9.97922e-05 
