
---- Journal Bearing Problem SHB-----
mx: 8,  my: 12,  ecc: 0.1 

  0 TAO,  Function value: 0.,  Residual: 1.11613 
  1 TAO,  Function value: -0.148934,  Residual: 0.469316 
  2 TAO,  Function value: -0.164956,  Residual: 0.394366 
  3 TAO,  Function value: -0.172915,  Residual: 0.182721 
  4 TAO,  Function value: -0.177528,  Residual: 0.261367 
  5 TAO,  Function value: -0.1813,  Residual: 0.0946442 
  6 TAO,  Function value: -0.182048,  Residual: 0.0706194 
  7 TAO,  Function value: -0.182128,  Residual: 0.0794703 
  8 TAO,  Function value: -0.182672,  Residual: 0.0424728 
  9 TAO,  Function value: -0.183102,  Residual: 0.0425587 
 10 TAO,  Function value: -0.183267,  Residual: 0.0229762 
 11 TAO,  Function value: -0.183347,  Residual: 0.0147898 
 12 TAO,  Function value: -0.183353,  Residual: 0.0310201 
 13 TAO,  Function value: -0.183417,  Residual: 0.00947042 
 14 TAO,  Function value: -0.183417,  Residual: 0.00944432 
 15 TAO,  Function value: -0.183418,  Residual: 0.00939281 
 16 TAO,  Function value: -0.183418,  Residual: 0.00918754 
 17 TAO,  Function value: -0.183418,  Residual: 0.00897244 
 18 TAO,  Function value: -0.183421,  Residual: 0.00831732 
 19 TAO,  Function value: -0.183427,  Residual: 0.00528334 
 20 TAO,  Function value: -0.183432,  Residual: 0.00330963 
 21 TAO,  Function value: -0.183435,  Residual: 0.00370775 
 22 TAO,  Function value: -0.183436,  Residual: 0.00203502 
 23 TAO,  Function value: -0.183436,  Residual: 0.00135929 
 24 TAO,  Function value: -0.183437,  Residual: 0.00224052 
 25 TAO,  Function value: -0.183437,  Residual: 0.00132465 
 26 TAO,  Function value: -0.183437,  Residual: 0.000647037 
 27 TAO,  Function value: -0.183437,  Residual: 0.000608189 
 28 TAO,  Function value: -0.183437,  Residual: 0.000392915 
 29 TAO,  Function value: -0.183437,  Residual: 0.000358211 
 30 TAO,  Function value: -0.183437,  Residual: 0.00022383 
 31 TAO,  Function value: -0.183437,  Residual: 0.000121529 
 32 TAO,  Function value: -0.183437,  Residual: 0.000122345 
 33 TAO,  Function value: -0.183437,  Residual: 5.90988e-05 
