
---- Journal Bearing Problem SHB-----
mx: 8,  my: 12,  ecc: 0.1 

  0 TAO,  Function value: 0.,  Residual: 0.558092 
  1 TAO,  Function value: -0.149218,  Residual: 0.314644 
  2 TAO,  Function value: -0.164664,  Residual: 0.453925 
  3 TAO,  Function value: -0.180562,  Residual: 0.172767 
  4 TAO,  Function value: -0.182874,  Residual: 0.0375576 
  5 TAO,  Function value: -0.183095,  Residual: 0.0257478 
  6 TAO,  Function value: -0.183356,  Residual: 0.019506 
  7 TAO,  Function value: -0.183404,  Residual: 0.015754 
  8 TAO,  Function value: -0.183428,  Residual: 0.00607142 
  9 TAO,  Function value: -0.183434,  Residual: 0.0035 
 10 TAO,  Function value: -0.183436,  Residual: 0.0029845 
 11 TAO,  Function value: -0.183437,  Residual: 0.00132982 
 12 TAO,  Function value: -0.183437,  Residual: 0.000685722 
 13 TAO,  Function value: -0.183437,  Residual: 0.000616359 
 14 TAO,  Function value: -0.183437,  Residual: 0.00015676 
 15 TAO,  Function value: -0.183437,  Residual: 9.88788e-05 
