
---- Journal Bearing Problem SHB-----
mx: 8,  my: 12,  ecc: 0.1 

  0 TAO,  Function value: 0.,  Residual: 1.11613 
  1 TAO,  Function value: -0.149218,  Residual: 0.455114 
  2 TAO,  Function value: -0.167821,  Residual: 0.557349 
  3 TAO,  Function value: -0.181054,  Residual: 0.156515 
  4 TAO,  Function value: -0.182817,  Residual: 0.0398087 
  5 TAO,  Function value: -0.183082,  Residual: 0.0256999 
  6 TAO,  Function value: -0.183319,  Residual: 0.020386 
  7 TAO,  Function value: -0.183402,  Residual: 0.0159307 
  8 TAO,  Function value: -0.183428,  Residual: 0.00806331 
  9 TAO,  Function value: -0.183434,  Residual: 0.00315731 
 10 TAO,  Function value: -0.183436,  Residual: 0.00196625 
 11 TAO,  Function value: -0.183437,  Residual: 0.00169818 
 12 TAO,  Function value: -0.183437,  Residual: 0.00185638 
 13 TAO,  Function value: -0.183437,  Residual: 0.000384705 
 14 TAO,  Function value: -0.183437,  Residual: 0.000199713 
 15 TAO,  Function value: -0.183437,  Residual: 0.000128422 
 16 TAO,  Function value: -0.183437,  Residual: 0.000138299 
 17 TAO,  Function value: -0.183437,  Residual: 3.51779e-05 
