  0 TAO,  Function value: 23.7,  Residual: 1481.25 
  1 TAO,  Function value: 16.6374,  Residual: 1113.63 
  2 TAO,  Function value: 9.0158,  Residual: 425.794 
  3 TAO,  Function value: 1.43187,  Residual: 71.808 
  4 TAO,  Function value: 1.07111,  Residual: 59.4013 
  5 TAO,  Function value: 0.762342,  Residual: 37.9243 
  6 TAO,  Function value: 0.0219194,  Residual: 0.648484 
  7 TAO,  Function value: 0.00249526,  Residual: 0.0649308 
  8 TAO,  Function value: 7.72997e-05,  Residual: 0.00198138 
  0 TAO,  Function value: 11.6244,  Residual: 620.269 
  1 TAO,  Function value: 3.82022,  Residual: 224.38 
  2 TAO,  Function value: 0.292615,  Residual: 11.209 
  3 TAO,  Function value: 0.0323533,  Residual: 1.01738 
  4 TAO,  Function value: 0.000733655,  Residual: 0.0225891 
  5 TAO,  Function value: 4.13634e-07,  Residual: 1.27378e-05 
  0 TAO,  Function value: 7.60885,  Residual: 380.401 
  1 TAO,  Function value: 0.506023,  Residual: 15.1385 
  2 TAO,  Function value: 0.057735,  Residual: 1.44821 
  3 TAO,  Function value: 0.00145555,  Residual: 0.0386663 
  4 TAO,  Function value: 1.096e-06,  Residual: 2.82102e-05 
  0 TAO,  Function value: 5.89837,  Residual: 226.874 
  1 TAO,  Function value: 0.514699,  Residual: 11.5931 
  2 TAO,  Function value: 0.0562058,  Residual: 1.10929 
  3 TAO,  Function value: 0.00122888,  Residual: 0.0258047 
  4 TAO,  Function value: 6.99054e-07,  Residual: 1.45382e-05 
  0 TAO,  Function value: 4.91075,  Residual: 137.463 
  1 TAO,  Function value: 0.535094,  Residual: 9.42404 
  2 TAO,  Function value: 0.0522944,  Residual: 0.796593 
  3 TAO,  Function value: 0.000919699,  Residual: 0.0147277 
  4 TAO,  Function value: 4.33811e-07,  Residual: 5.94393e-06 
  0 TAO,  Function value: 4.37756,  Residual: 104.021 
  1 TAO,  Function value: 0.51686,  Residual: 7.97589 
  2 TAO,  Function value: 0.0476357,  Residual: 0.660091 
  3 TAO,  Function value: 0.0007414,  Residual: 0.0102447 
  4 TAO,  Function value: 3.08278e-07,  Residual: 3.60953e-06 
  0 TAO,  Function value: 3.98171,  Residual: 81.2763 
  1 TAO,  Function value: 0.497,  Residual: 6.67224 
  2 TAO,  Function value: 0.0423014,  Residual: 0.485996 
  3 TAO,  Function value: 0.0006012,  Residual: 0.00688018 
  4 TAO,  Function value: 2.31232e-07,  Residual: 2.56132e-06 
  0 TAO,  Function value: 3.68995,  Residual: 71.9281 
  1 TAO,  Function value: 0.475062,  Residual: 6.17619 
  2 TAO,  Function value: 0.0383649,  Residual: 0.444237 
  3 TAO,  Function value: 0.000510833,  Residual: 0.00585196 
  4 TAO,  Function value: 1.24337e-05,  Residual: 0.000228415 
  0 TAO,  Function value: 3.44743,  Residual: 63.8891 
  1 TAO,  Function value: 0.452013,  Residual: 5.60054 
  2 TAO,  Function value: 0.034366,  Residual: 0.369899 
  3 TAO,  Function value: 0.000422454,  Residual: 0.00449421 
  4 TAO,  Function value: 1.37127e-07,  Residual: 1.46075e-06 
