  0 TAO,  Function value: 4575.71,  Residual: 1815.3 
  1 TAO,  Function value: 4575.71,  Residual: 415.165 
  2 TAO,  Function value: 4575.71,  Residual: 4876.19 
  3 TAO,  Function value: 4575.71,  Residual: 767.882 
  4 TAO,  Function value: 4427.67,  Residual: 12937.9 
  5 TAO,  Function value: 4427.67,  Residual: 3255.26 
  6 TAO,  Function value: 4427.67,  Residual: 824.472 
  7 TAO,  Function value: 3389.64,  Residual: 5218.5 
  8 TAO,  Function value: 3389.64,  Residual: 1370.54 
  9 TAO,  Function value: 2973.48,  Residual: 2305.36 
 10 TAO,  Function value: 2492.93,  Residual: 1360.85 
 11 TAO,  Function value: 2426.87,  Residual: 16.2744 
 12 TAO,  Function value: 2426.87,  Residual: 1.40116 
 13 TAO,  Function value: 2426.87,  Residual: 0.342707 
 14 TAO,  Function value: 2425.74,  Residual: 0.816928 
 15 TAO,  Function value: 2425.74,  Residual: 0.187558 
 16 TAO,  Function value: 2414.13,  Residual: 1.16619 
 17 TAO,  Function value: 2398.88,  Residual: 64.6581 
 18 TAO,  Function value: 2392.66,  Residual: 962.471 
 19 TAO,  Function value: 2392.16,  Residual: 629.538 
 20 TAO,  Function value: 2392.16,  Residual: 305.995 
 21 TAO,  Function value: 2384.52,  Residual: 10.8197 
 22 TAO,  Function value: 2384.49,  Residual: 9.62159 
 23 TAO,  Function value: 2384.49,  Residual: 1.29796 
 24 TAO,  Function value: 2384.48,  Residual: 4.26155 
 25 TAO,  Function value: 2384.48,  Residual: 0.74312 
 26 TAO,  Function value: 2384.48,  Residual: 0.0107292 
