  0 TAO,  Function value: 4575.71,  Residual: 1815.3 
  1 TAO,  Function value: 4575.71,  Residual: 415.154 
  2 TAO,  Function value: 4575.71,  Residual: 4934.12 
  3 TAO,  Function value: 4575.71,  Residual: 779.239 
  4 TAO,  Function value: 4428.66,  Residual: 3310.54 
  5 TAO,  Function value: 4428.66,  Residual: 624.481 
  6 TAO,  Function value: 4428.66,  Residual: 206.174 
  7 TAO,  Function value: 3240.87,  Residual: 284.839 
  8 TAO,  Function value: 3240.87,  Residual: 87.5297 
  9 TAO,  Function value: 2455.85,  Residual: 61.715 
 10 TAO,  Function value: 2449.97,  Residual: 224.59 
 11 TAO,  Function value: 2449.97,  Residual: 48.3756 
 12 TAO,  Function value: 2445.65,  Residual: 108.104 
 13 TAO,  Function value: 2420.8,  Residual: 2897.01 
 14 TAO,  Function value: 2420.8,  Residual: 830.819 
 15 TAO,  Function value: 2386.61,  Residual: 870.324 
 16 TAO,  Function value: 2386.13,  Residual: 52.9312 
 17 TAO,  Function value: 2384.76,  Residual: 50.3425 
 18 TAO,  Function value: 2384.62,  Residual: 19.7624 
 19 TAO,  Function value: 2384.48,  Residual: 4.54498 
 20 TAO,  Function value: 2384.48,  Residual: 8.04175 
 21 TAO,  Function value: 2384.48,  Residual: 0.575493 
 22 TAO,  Function value: 2384.48,  Residual: 0.0195008 
