
---- Journal Bearing Problem SHB-----
mx: 8,  my: 12,  ecc: 0.1 

iter =   0, Function value 0., Residual: 1.11613 
iter =   0, Function value -0.149218, Residual: 0.455114 
iter =   1, Function value -0.170125, Residual: 0.31513 
iter =   2, Function value -0.175848, Residual: 0.219207 
iter =   3, Function value -0.179099, Residual: 0.103589 
iter =   4, Function value -0.181841, Residual: 0.0752375 
iter =   5, Function value -0.183062, Residual: 0.0657524 
iter =   6, Function value -0.183293, Residual: 0.0419465 
iter =   7, Function value -0.183408, Residual: 0.0114645 
iter =   8, Function value -0.183423, Residual: 0.00745747 
iter =   9, Function value -0.183434, Residual: 0.00415397 
iter =  10, Function value -0.183435, Residual: 0.00454266 
iter =  11, Function value -0.183436, Residual: 0.00146116 
iter =  12, Function value -0.183437, Residual: 0.00102279 
iter =  13, Function value -0.183437, Residual: 0.000744598 
iter =  14, Function value -0.183437, Residual: 0.000619057 
iter =  15, Function value -0.183437, Residual: 0.000250578 
iter =  16, Function value -0.183437, Residual: 0.000147087 
iter =  17, Function value -0.183437, Residual: 0.000106866 
iter =  18, Function value -0.183437, Residual: 0.000131039 
iter =  19, Function value -0.183437, Residual: 4.8005e-05 
