
---- Journal Bearing Problem SHB-----
mx: 8,  my: 12,  ecc: 0.1 

iter =   0, Function value 0., Residual: 0.558092 
iter =   1, Function value -0.149218, Residual: 0.314644 
iter =   2, Function value -0.164664, Residual: 0.453925 
iter =   3, Function value -0.180562, Residual: 0.172767 
iter =   4, Function value -0.182874, Residual: 0.0375576 
iter =   5, Function value -0.183095, Residual: 0.0257478 
iter =   6, Function value -0.183356, Residual: 0.019506 
iter =   7, Function value -0.183404, Residual: 0.015754 
iter =   8, Function value -0.183428, Residual: 0.00607142 
iter =   9, Function value -0.183434, Residual: 0.0035 
iter =  10, Function value -0.183436, Residual: 0.0029845 
iter =  11, Function value -0.183437, Residual: 0.00132982 
iter =  12, Function value -0.183437, Residual: 0.000685722 
iter =  13, Function value -0.183437, Residual: 0.000616359 
iter =  14, Function value -0.183437, Residual: 0.00015676 
iter =  15, Function value -0.183437, Residual: 9.88788e-05 
