
---- Journal Bearing Problem SHB-----
mx: 8,  my: 12,  ecc: 0.1 

iter =   0, Function value 0., Residual: 1.11613 
iter =   1, Function value -0.148934, Residual: 0.469316 
iter =   2, Function value -0.174261, Residual: 0.389839 
iter =   3, Function value -0.181461, Residual: 0.136975 
iter =   4, Function value -0.183053, Residual: 0.0365269 
iter =   5, Function value -0.183257, Residual: 0.0256819 
iter =   6, Function value -0.183361, Residual: 0.0212419 
iter =   7, Function value -0.183416, Residual: 0.0100034 
iter =   8, Function value -0.183432, Residual: 0.00615719 
iter =   9, Function value -0.183435, Residual: 0.00284752 
iter =  10, Function value -0.183437, Residual: 0.00195629 
iter =  11, Function value -0.183437, Residual: 0.00128882 
iter =  12, Function value -0.183437, Residual: 0.000568496 
iter =  13, Function value -0.183437, Residual: 0.000314177 
iter =  14, Function value -0.183437, Residual: 0.000171177 
iter =  15, Function value -0.183437, Residual: 0.000106319 
iter =  16, Function value -0.183437, Residual: 6.00378e-05 
