
---- Journal Bearing Problem SHB-----
mx: 8,  my: 12,  ecc: 0.1 

iter =   0, Function value 0., Residual: 1.11613 
  iter =   0,   Function value 0.,   Residual: 1.11613 
  iter =   0,   Function value -0.149218,   Residual: 0.455114 
  iter =   1,   Function value -0.149219,   Residual: 0.455948 
  iter =   2,   Function value -0.172148,   Residual: 0.486417 
  iter =   3,   Function value -0.180088,   Residual: 0.219665 
iter =   1, Function value -0.182879, Residual: 0.0500013 
  iter =   0,   Function value -0.182879,   Residual: 0.0500013 
  iter =   1,   Function value -0.183171,   Residual: 0.0457387 
  iter =   2,   Function value -0.183315,   Residual: 0.0239707 
  iter =   3,   Function value -0.183383,   Residual: 0.0130507 
iter =   2, Function value -0.183437, Residual: 0.00056009 
  iter =   0,   Function value -0.183437,   Residual: 0.00056009 
  iter =   1,   Function value -0.183437,   Residual: 0.000479142 
  iter =   2,   Function value -0.183437,   Residual: 0.000250785 
  iter =   3,   Function value -0.183437,   Residual: 0.000130903 
iter =   3, Function value -0.183437, Residual: < 1.0e-6 
